Symbol,Neg Sent Signal compound,Neg Sent Signal neg,Neg Sent Signal neu,Neg Sent Signal pos,Pos Sent Signal compound,Pos Sent Signal neg,Pos Sent Signal neu,Pos Sent Signal pos,Mean Sent Len,Sent Count,Pos Mean Sent Len,Pos Sent Count,Neg Mean Sent Len,Neg Sent Count,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,MKT13,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
ADSW,-0.4561419354838709,0.213008064516129,0.7181209677419352,0.06883064516129032,0.7927354838709681,0.007620967741935485,0.6306209677419353,0.36173387096774196,314.6483962647178,2463.0,210.8709677419355,124.0,200.54032258064515,124.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,32,346500000.0,18.0,19250000,-0.048292683,-0.004878049000000001,-0.041463415,0.091707268
ADT,-0.4071144278606965,0.20629353233830852,0.7207910447761195,0.07291542288557215,0.7890603960396047,0.024851485148514846,0.6341534653465346,0.34098019801980234,354.81209717402083,4034.0,186.69306930693068,202.0,190.22885572139305,201.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,1470000000.0,14.0,105000000,-0.041897233,-0.066403162,-0.07035573099999999,-0.282213439
ADUS,-0.46300530303030296,0.23146969696969708,0.7261287878787884,0.04238636363636364,0.817565625,0.009757812499999999,0.6453593750000001,0.34489843749999993,303.89689158453376,2638.0,176.0546875,128.0,157.46212121212122,132.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,19,54000000.0,10.0,5400000,-0.06808510599999999,-0.090425532,-0.14787234,-0.04893617
AEL,-0.3327379746835441,0.23830379746835445,0.6867341772151898,0.0749620253164557,0.8333223684210526,0.003473684210526316,0.5956052631578947,0.40090789473684213,307.91571609632445,1578.0,146.28947368421052,76.0,134.55696202531647,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,42,168300000.0,9.0,18700000,0.005555556,0.014444444,0.144444444,0.316666667
AER,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,20,600300000.0,23.0,26100000,-0.08,-0.0728,-0.08480004,0.066
AERI,-0.523550442477876,0.26532743362831857,0.6853893805309735,0.04929203539823009,0.784240178571429,0.017375000000000005,0.6540446428571428,0.3285535714285714,319.82044444444443,2250.0,193.8125,112.0,177.1150442477876,113.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,25,67200000.0,10.0,6720000,-0.004739335999999999,-0.004739335999999999,0.154407583,0.916587583
AFFY,-0.41408235294117607,0.37285294117647055,0.6155098039215688,0.011627450980392154,0.7656883495145631,0.018912621359223305,0.6411650485436893,0.3399223300970874,287.26589034449296,2061.0,169.29126213592232,103.0,59.8921568627451,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,92500000.0,25.0,3700000,0.08366660000000001,0.175,0.093000033,0.059999967
AFH,-0.5362812500000004,0.25029166666666663,0.6800833333333332,0.06961458333333335,0.7909083333333332,0.013322916666666669,0.6557916666666666,0.33081249999999995,306.6783472803347,1912.0,210.82291666666666,96.0,191.64583333333334,96.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,30,24131250.0,5.85,4125000,0.001709402,0.015384615,0.194871795,0.246153846
AIMC,-0.3901577319587627,0.2973092783505155,0.6555154639175259,0.04721649484536083,0.7692437499999998,0.019468750000000003,0.6455833333333331,0.33493750000000005,352.89400921658984,1953.0,186.44791666666666,96.0,108.3298969072165,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,29,135000000.0,13.5,10000000,0.02962963,0.040740741,0.06814814799999999,0.017037036999999998
AIMT,-0.6463708737864078,0.24233980582524273,0.7102427184466021,0.04746601941747573,0.7588417475728159,0.010708737864077672,0.6714563106796112,0.31782524271844664,331.3220338983051,2065.0,199.03883495145632,103.0,225.1747572815534,103.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,26,160000000.0,16.0,10000000,0.342857143,0.28571428600000004,0.28571428600000004,-0.119428571
AIZ,-0.44355796178343937,0.23077070063694263,0.6929044585987261,0.07627388535031851,0.7677490445859874,0.021171974522292997,0.64140127388535,0.3374267515923568,292.75256081946225,3124.0,177.52229299363057,157.0,168.62420382165604,157.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,1760000000.0,22.0,80000000,0.040421011,0.018526358,0.053473684,0.034105221
AJX,-0.4792039370078737,0.22765354330708665,0.703393700787402,0.06896062992125986,0.7870141732283462,0.017338582677165357,0.6516377952755904,0.33103149606299204,333.4779353821907,2538.0,184.96062992125985,127.0,197.8031496062992,127.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16,71250000.0,14.25,5000000,-0.016842105,-0.0070175440000000006,0.001403509,-0.037192982
AKAO,-0.5688743362831858,0.22123008849557527,0.7267787610619469,0.052017699115044266,0.7903911504424781,0.014699115044247788,0.6590088495575221,0.3262920353982302,336.66992447800976,2251.0,194.04424778761063,113.0,226.9646017699115,113.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,72000000.0,12.0,6000000,0.126070039,0.33540856,-0.030350195,0.108171206
AKBA,-0.4994632075471695,0.2440283018867924,0.6986792452830185,0.05728301886792453,0.789112380952381,0.018266666666666664,0.6430095238095243,0.33874285714285723,335.02229601518025,2108.0,177.35238095238094,105.0,165.87735849056602,106.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,25,100000001.0,17.0,5882353,0.11441048,-0.173362445,0.134934498,0.215720524
AKER,-0.4847709677419352,0.24402150537634415,0.7097419354838711,0.046247311827956994,0.7761235955056182,0.021921348314606744,0.629887640449438,0.3482022471910113,328.8552060737527,1844.0,200.41573033707866,89.0,159.70967741935485,93.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,23,14998500.0,5.5,2727000,-0.028268551,-0.06360424,-0.151943463,-0.233215548
AL,-0.4024476190476191,0.19245714285714294,0.7322380952380955,0.07529523809523808,0.7762805825242713,0.008058252427184467,0.6643495145631071,0.3276019417475727,327.5129186602871,2090.0,178.0097087378641,103.0,277.87619047619046,105.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,802500030.0,26.5,30283020,0.029724734,0.053211046,0.051376147,-0.089908294
ALDR,-0.5982316326530612,0.2318061224489795,0.7244591836734695,0.04373469387755102,0.7782295918367349,0.02009183673469387,0.6694081632653063,0.3105102040816327,315.7682801235839,1942.0,214.8877551020408,98.0,181.53061224489795,98.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,28,80000000.0,10.0,8000000,-0.052173913,-0.024154589,0.5111111110000001,0.536231884
ALDX,-0.6176888888888887,0.28694444444444445,0.6725833333333331,0.04047222222222223,0.7977714285714287,0.021171428571428574,0.6884285714285711,0.2903142857142857,365.9317211948791,703.0,258.48571428571427,35.0,190.30555555555554,36.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,26,12000000.0,8.0,1500000,-0.093333333,-0.069333333,-0.188,-0.5146666670000001
ALGRU,-0.27261666666666673,0.17324999999999996,0.7295138888888887,0.09719444444444444,0.7408338028169014,0.03323943661971831,0.6814788732394365,0.2853098591549296,405.1657303370786,1424.0,213.14084507042253,71.0,206.51388888888889,72.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,130000000.0,10.0,13000000,,,,
ALGT,-0.5544666666666664,0.24212820512820515,0.7167307692307695,0.04103846153846153,0.7537623376623375,0.016805194805194806,0.6245584415584415,0.3586363636363637,268.6966003848621,1559.0,168.1818181818182,77.0,163.47435897435898,78.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,19,90000000.0,18.0,5000000,0.045833333,0.193333292,0.122500042,0.370416625
ALLT,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,25,78000000.0,12.0,6500000,-0.035862069,-0.146206897,-0.294482759,-0.35862069
ALRM,-0.4337740458015266,0.19611450381679374,0.7430152671755724,0.06085496183206108,0.794066923076923,0.008199999999999999,0.6269307692307692,0.36489230769230774,319.4000761324705,2627.0,159.0,130.0,212.9083969465649,131.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,24,98000000.0,14.0,7000000,0.046106046,0.043613772,0.078504678,-0.17507783
ALRN,-0.5229387931034483,0.23190517241379308,0.710258620689655,0.0579137931034483,0.7992365217391305,0.02042608695652173,0.6884869565217392,0.29106086956521754,350.2685145084452,2309.0,250.26956521739132,115.0,165.1206896551724,116.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,24,56250000.0,15.0,3750000,-0.218181818,-0.021818182,-0.037818182,-0.097745455
ALSN,-0.414356880733945,0.19212844036697244,0.7408256880733943,0.06704587155963303,0.8040146788990826,0.015366972477064223,0.6353394495412846,0.3492568807339449,304.2800365463682,2189.0,194.7981651376147,109.0,212.29357798165137,109.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,33,600300000.0,23.0,26100000,0.02826087,0.05,-0.052173957,-0.155652174
ALTH,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,22,90000000.0,18.0,5000000,-0.116666667,-0.054000000000000006,-0.391333333,-0.3
AM,-0.385053125,0.19075000000000003,0.7400624999999998,0.06928125,0.7736249999999999,0.02171875,0.67028125,0.30796875000000007,392.2947702060222,631.0,195.84375,32.0,241.25,32.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,28,1000000000.0,25.0,40000000,-0.069180361,-0.056065541,-0.06655741,-0.192786852
AMBA,-0.4755134020618554,0.22846391752577322,0.7004329896907215,0.07103092783505152,0.7795091836734698,0.01333673469387755,0.6510918367346938,0.3355408163265307,310.3128834355828,1956.0,177.35714285714286,98.0,178.31958762886597,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,36000000.0,6.0,6000000,-0.096870343,-0.105812221,0.16542473900000002,0.813710879
AMBO,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,28,7650000.0,4.25,1800000,-0.1871345029239766,-0.1715399610136452,0.052631578947368585,
AMGP,-0.33817354838709685,0.18058709677419357,0.7408193548387096,0.07856774193548385,0.7417639240506327,0.02196835443037975,0.5949430379746838,0.3831202531645567,380.8266116227374,3149.0,159.77215189873417,158.0,195.03870967741935,155.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,22,875375000.0,23.5,37250000,-0.006772009,-0.022573363,0.016252822,-0.046501084000000005
ANAB,-0.43987826086956516,0.2823913043478261,0.7115217391304348,0.006086956521739131,0.7046124999999998,0.00525,0.7185833333333335,0.2762083333333333,407.51271186440675,472.0,241.16666666666666,24.0,84.43478260869566,23.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14,75000000.0,15.0,5000000,0.050624937,0.05125,0.393749938,0.550624937
ANET,-0.4957645454545454,0.2352545454545454,0.6988272727272724,0.0659,0.7767100917431189,0.024238532110091745,0.6443669724770642,0.3314128440366972,332.91677973767526,2211.0,179.10091743119267,109.0,179.9,110.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,225750000.0,43.0,5250000,0.018099548,0.23927603600000005,0.360362063,0.5409954570000001
ANGI,-0.4772359550561797,0.2462808988764046,0.7026067415730339,0.05113483146067417,0.803461797752809,0.015325842696629212,0.6401797752808988,0.34449438202247207,295.2505617977528,1780.0,171.1011235955056,89.0,162.4494382022472,89.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,18,114314304.0,13.0,8793408,-0.097222222,-0.218333333,-0.073888889,-0.132222222
ANTH,-0.4904981308411215,0.2174485981308411,0.7408598130841118,0.04169158878504674,0.7933701923076921,0.01725,0.6571346153846154,0.325625,349.6235349273324,2133.0,204.5096153846154,104.0,177.38317757009347,107.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,27,42000000.0,7.0,6000000,0.007142884,0.001428605,0.005714281,-0.101428576
ANW,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,36,175000000.0,14.0,12500000,0.072666667,0.030666667,0.027333333,0.13666660000000005
AOSL,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,31,91547730.0,18.0,5085985,-0.019878574,-0.06515742299999999,-0.213141954,-0.290447306
APAM,-0.16357560975609758,0.17307317073170736,0.7372195121951218,0.08975609756097562,0.8188071428571428,0.016690476190476193,0.6733571428571429,0.31000000000000005,396.3073229291717,833.0,256.8333333333333,42.0,198.0487804878049,41.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,38,331624680.0,30.0,11054156,0.093465935,0.059090850999999986,0.102272668,0.32784092800000003
APEI,-0.457009756097561,0.1811707317073171,0.754390243902439,0.06441463414634145,0.7511073170731706,0.013634146341463416,0.6659512195121952,0.32039024390243914,355.4912935323383,804.0,179.65853658536585,41.0,273.0975609756098,41.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,29,93750000.0,20.0,4687500,0.142666633,0.15233333300000002,0.425,0.266666667
APKT,-0.38439624999999966,0.3721,0.6055500000000003,0.022350000000000002,0.79988375,0.015125,0.613275,0.3716374999999999,293.6649968691296,1597.0,170.3625,80.0,75.825,80.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,15,109008016.0,9.5,11474528,0.136428571,0.164285643,0.110714286,0.299285786
APO,-0.3514559454191032,0.19469785575048754,0.7183820662768028,0.08692202729044829,0.8084999999999996,0.016337890625,0.6378535156250005,0.3457832031249997,346.8769740690193,10258.0,186.927734375,512.0,187.8382066276803,513.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,28,565393621.0,19.0,29757559,-0.034759463,-0.036898447,-0.0315508,-0.143850313
APPF,-0.4312560747663553,0.19264485981308405,0.7422616822429907,0.06514953271028039,0.7904972222222223,0.012129629629629626,0.6240092592592594,0.36381481481481487,320.3809523809524,2142.0,156.21296296296296,108.0,224.17757009345794,107.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,74400000.0,12.0,6200000,0.08510638300000001,0.153027823,0.253682488,0.440261866
APPN,-0.4688853211009174,0.22438532110091752,0.7182844036697247,0.057366972477064224,0.7804247706422017,0.022990825688073396,0.6340458715596332,0.3429449541284404,315.8416435826408,2166.0,187.9908256880734,109.0,199.58715596330276,109.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,11,75000000.0,12.0,6250000,0.013289037,0.182724186,0.135548173,0.360132824
APRN,-0.5632877551020405,0.2212142857142859,0.7358163265306127,0.04294897959183675,0.7963158415841582,0.008306930693069307,0.6626831683168316,0.32900990099009914,347.3976023976024,2002.0,199.2970297029703,101.0,233.27551020408163,98.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,25,300000000.0,10.0,30000000,-0.002,-0.189,-0.312,-0.468
APTX,-0.7010433070866144,0.2798346456692913,0.671307086614173,0.04890551181102362,0.7407023999999998,0.030368,0.6700080000000002,0.299648,329.41726332537786,2514.0,197.24,125.0,196.86614173228347,127.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,12,102399984.0,16.0,6399999,0.13735637931034494,0.2775862068965518,,
AQ,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13,61362000.0,9.0,6818000,0.053705693,0.19763695,0.254564984,0.37056928
ARGX,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,99705000.0,17.0,5865000,0.234636872,0.154189944,0.167597765,0.133519609
