Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
DRRX,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,84000000,12.0,7000000,-0.220149254,-0.182835821,-0.253731343,-0.246268657
MON,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,700000000,20.0,35000000,0.1,0.10625,0.2125,0.5375
WIT,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,113795000,41.38,2750000,0.10674136599999999,0.09971912,0.23314633199999998,0.255617721
RIGL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,25,35000000,7.0,5000000,-0.034482759,0.077586207,0.24568275899999997,-0.362068966
GRMN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,147000000,14.0,10500000,0.434782609,0.280632411,0.132407905,0.31225296399999997
RECN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,78000000,12.0,6500000,0.174311927,0.220183486,0.651376147,0.385321101
PEET,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,22,26400000,8.0,3300000,0.2300123,0.414514145,0.061500615,0.136531365
OIS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,29,90000000,9.0,10000000,0.013888973,0.010411139,0.371522288,0.216666728
ACN,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,1667500000,14.5,115000000,-0.003311258,-0.009933775,-0.021192053,0.12450331099999999
MDTH,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,150000000,25.0,6000000,0.025589763999999997,0.02754894,-0.18632547,-0.240303878
PFG,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,29,1850000000,18.5,100000000,0.029268292999999997,0.043902439,0.085365854,0.185365805
WTW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,33,417600000,24.0,17400000,-0.008075337,0.048115782,0.128869453,0.21130555899999998
PRU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,24,3025000000,27.5,110000000,0.027491408999999998,0.0395189,0.056701031,0.052577285
SYNA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,55000000,11.0,5000000,0.004576659,-0.001525629,-0.022120481,0.437833753
